"","x"
"1",2017-01-01
"2",2017-01-02
"3",2017-01-03
"4",2017-01-04
"5",2017-01-05
"6",2017-01-06
"7",2017-01-07
"8",2017-01-08
"9",2017-01-09
"10",2017-01-10
"11",2017-01-11
"12",2017-01-12
"13",2017-01-13
"14",2017-01-14
"15",2017-01-15
"16",2017-01-16
"17",2017-01-17
"18",2017-01-18
"19",2017-01-19
"20",2017-01-20
"21",2017-01-21
"22",2017-01-22
"23",2017-01-23
"24",2017-01-24
"25",2017-01-25
"26",2017-01-26
"27",2017-01-27
"28",2017-01-28
"29",2017-01-29
"30",2017-01-30
"31",2017-01-31
"32",2017-02-01
"33",2017-02-02
"34",2017-02-03
"35",2017-02-04
"36",2017-02-05
"37",2017-02-06
"38",2017-02-07
"39",2017-02-08
"40",2017-02-09
"41",2017-02-10
"42",2017-02-11
"43",2017-02-12
"44",2017-02-13
"45",2017-02-14
"46",2017-02-15
"47",2017-02-16
"48",2017-02-17
"49",2017-02-18
"50",2017-02-19
"51",2017-02-20
"52",2017-02-21
"53",2017-02-22
"54",2017-02-23
"55",2017-02-24
"56",2017-02-25
"57",2017-02-26
"58",2017-02-27
"59",2017-02-28
"60",2017-03-01
"61",2017-03-02
"62",2017-03-03
"63",2017-03-04
"64",2017-03-05
"65",2017-03-06
"66",2017-03-07
"67",2017-03-08
"68",2017-03-09
"69",2017-03-10
"70",2017-03-11
"71",2017-03-12
"72",2017-03-13
"73",2017-03-14
"74",2017-03-15
"75",2017-03-16
"76",2017-03-17
"77",2017-03-18
"78",2017-03-19
"79",2017-03-20
"80",2017-03-21
"81",2017-03-22
"82",2017-03-23
"83",2017-03-24
"84",2017-03-25
"85",2017-03-26
"86",2017-03-27
"87",2017-03-28
"88",2017-03-29
"89",2017-03-30
"90",2017-03-31
"91",2017-04-01
"92",2017-04-02
"93",2017-04-03
"94",2017-04-04
"95",2017-04-05
"96",2017-04-06
"97",2017-04-07
"98",2017-04-08
"99",2017-04-09
"100",2017-04-10
"101",2017-04-11
"102",2017-04-12
"103",2017-04-13
"104",2017-04-14
"105",2017-04-15
"106",2017-04-16
"107",2017-04-17
"108",2017-04-18
"109",2017-04-19
"110",2017-04-20
"111",2017-04-21
"112",2017-04-22
"113",2017-04-23
"114",2017-04-24
"115",2017-04-25
"116",2017-04-26
"117",2017-04-27
"118",2017-04-28
"119",2017-04-29
"120",2017-04-30
"121",2017-05-01
"122",2017-05-02
"123",2017-05-03
"124",2017-05-04
"125",2017-05-05
"126",2017-05-06
"127",2017-05-07
"128",2017-05-08
"129",2017-05-09
"130",2017-05-10
"131",2017-05-11
"132",2017-05-12
"133",2017-05-13
"134",2017-05-14
"135",2017-05-15
"136",2017-05-16
"137",2017-05-17
"138",2017-05-18
"139",2017-05-19
"140",2017-05-20
"141",2017-05-21
"142",2017-05-22
"143",2017-05-23
"144",2017-05-24
"145",2017-05-25
"146",2017-05-26
"147",2017-05-27
"148",2017-05-28
"149",2017-05-29
"150",2017-05-30
"151",2017-05-31
"152",2017-06-01
"153",2017-06-02
"154",2017-06-03
"155",2017-06-04
"156",2017-06-05
"157",2017-06-06
"158",2017-06-07
"159",2017-06-08
"160",2017-06-09
"161",2017-06-10
"162",2017-06-11
"163",2017-06-12
"164",2017-06-13
"165",2017-06-14
"166",2017-06-15
"167",2017-06-16
"168",2017-06-17
"169",2017-06-18
"170",2017-06-19
"171",2017-06-20
"172",2017-06-21
"173",2017-06-22
"174",2017-06-23
"175",2017-06-24
"176",2017-06-25
"177",2017-06-26
"178",2017-06-27
"179",2017-06-28
"180",2017-06-29
"181",2017-06-30
"182",2017-07-01
"183",2017-07-02
"184",2017-07-03
"185",2017-07-04
"186",2017-07-05
"187",2017-07-06
"188",2017-07-07
"189",2017-07-08
"190",2017-07-09
"191",2017-07-10
"192",2017-07-11
"193",2017-07-12
"194",2017-07-13
"195",2017-07-14
"196",2017-07-15
"197",2017-07-16
"198",2017-07-17
"199",2017-07-18
"200",2017-07-19
"201",2017-07-20
"202",2017-07-21
"203",2017-07-22
"204",2017-07-23
"205",2017-07-24
"206",2017-07-25
"207",2017-07-26
"208",2017-07-27
"209",2017-07-28
"210",2017-07-29
"211",2017-07-30
"212",2017-07-31
"213",2017-08-01
"214",2017-08-02
"215",2017-08-03
"216",2017-08-04
"217",2017-08-05
"218",2017-08-06
"219",2017-08-07
"220",2017-08-08
"221",2017-08-09
"222",2017-08-10
"223",2017-08-11
"224",2017-08-12
"225",2017-08-13
"226",2017-08-14
"227",2017-08-15
"228",2017-08-16
"229",2017-08-17
"230",2017-08-18
"231",2017-08-19
"232",2017-08-20
"233",2017-08-21
"234",2017-08-22
"235",2017-08-23
"236",2017-08-24
"237",2017-08-25
"238",2017-08-26
"239",2017-08-27
"240",2017-08-28
"241",2017-08-29
"242",2017-08-30
"243",2017-08-31
"244",2017-09-01
"245",2017-09-02
"246",2017-09-03
"247",2017-09-04
"248",2017-09-05
"249",2017-09-06
"250",2017-09-07
"251",2017-09-08
"252",2017-09-09
"253",2017-09-10
"254",2017-09-11
"255",2017-09-12
"256",2017-09-13
"257",2017-09-14
"258",2017-09-15
"259",2017-09-16
"260",2017-09-17
"261",2017-09-18
"262",2017-09-19
"263",2017-09-20
"264",2017-09-21
"265",2017-09-22
"266",2017-09-23
"267",2017-09-24
"268",2017-09-25
"269",2017-09-26
"270",2017-09-27
"271",2017-09-28
"272",2017-09-29
"273",2017-09-30
"274",2017-10-01
"275",2017-10-02
"276",2017-10-03
"277",2017-10-04
"278",2017-10-05
"279",2017-10-06
"280",2017-10-07
"281",2017-10-08
"282",2017-10-09
"283",2017-10-10
"284",2017-10-11
"285",2017-10-12
"286",2017-10-13
"287",2017-10-14
"288",2017-10-15
"289",2017-10-16
"290",2017-10-17
"291",2017-10-18
"292",2017-10-19
"293",2017-10-20
"294",2017-10-21
"295",2017-10-22
"296",2017-10-23
"297",2017-10-24
"298",2017-10-25
"299",2017-10-26
"300",2017-10-27
"301",2017-10-28
"302",2017-10-29
"303",2017-10-30
"304",2017-10-31
"305",2017-11-01
"306",2017-11-02
"307",2017-11-03
"308",2017-11-04
"309",2017-11-05
"310",2017-11-06
"311",2017-11-07
"312",2017-11-08
"313",2017-11-09
"314",2017-11-10
"315",2017-11-11
"316",2017-11-12
"317",2017-11-13
"318",2017-11-14
"319",2017-11-15
"320",2017-11-16
"321",2017-11-17
"322",2017-11-18
"323",2017-11-19
"324",2017-11-20
"325",2017-11-21
"326",2017-11-22
"327",2017-11-23
"328",2017-11-24
"329",2017-11-25
"330",2017-11-26
"331",2017-11-27
"332",2017-11-28
"333",2017-11-29
"334",2017-11-30
"335",2017-12-01
"336",2017-12-02
"337",2017-12-03
"338",2017-12-04
"339",2017-12-05
"340",2017-12-06
"341",2017-12-07
"342",2017-12-08
"343",2017-12-09
"344",2017-12-10
"345",2017-12-11
"346",2017-12-12
"347",2017-12-13
"348",2017-12-14
"349",2017-12-15
"350",2017-12-16
"351",2017-12-17
"352",2017-12-18
"353",2017-12-19
"354",2017-12-20
"355",2017-12-21
"356",2017-12-22
"357",2017-12-23
"358",2017-12-24
"359",2017-12-25
"360",2017-12-26
"361",2017-12-27
"362",2017-12-28
"363",2017-12-29
"364",2017-12-30
"365",2017-12-31
"366",2018-01-01
"367",2018-01-02
"368",2018-01-03
"369",2018-01-04
"370",2018-01-05
"371",2018-01-06
"372",2018-01-07
"373",2018-01-08
"374",2018-01-09
"375",2018-01-10
"376",2018-01-11
"377",2018-01-12
"378",2018-01-13
"379",2018-01-14
"380",2018-01-15
"381",2018-01-16
"382",2018-01-17
"383",2018-01-18
"384",2018-01-19
"385",2018-01-20
"386",2018-01-21
"387",2018-01-22
"388",2018-01-23
"389",2018-01-24
"390",2018-01-25
"391",2018-01-26
"392",2018-01-27
"393",2018-01-28
"394",2018-01-29
"395",2018-01-30
"396",2018-01-31
"397",2018-02-01
"398",2018-02-02
"399",2018-02-03
"400",2018-02-04
"401",2018-02-05
"402",2018-02-06
"403",2018-02-07
"404",2018-02-08
"405",2018-02-09
"406",2018-02-10
"407",2018-02-11
"408",2018-02-12
"409",2018-02-13
"410",2018-02-14
"411",2018-02-15
"412",2018-02-16
"413",2018-02-17
"414",2018-02-18
"415",2018-02-19
"416",2018-02-20
"417",2018-02-21
"418",2018-02-22
"419",2018-02-23
"420",2018-02-24
"421",2018-02-25
"422",2018-02-26
"423",2018-02-27
"424",2018-02-28
"425",2018-03-01
"426",2018-03-02
"427",2018-03-03
"428",2018-03-04
"429",2018-03-05
"430",2018-03-06
"431",2018-03-07
"432",2018-03-08
"433",2018-03-09
"434",2018-03-10
"435",2018-03-11
"436",2018-03-12
"437",2018-03-13
"438",2018-03-14
"439",2018-03-15
"440",2018-03-16
"441",2018-03-17
"442",2018-03-18
"443",2018-03-19
"444",2018-03-20
"445",2018-03-21
"446",2018-03-22
"447",2018-03-23
"448",2018-03-24
"449",2018-03-25
"450",2018-03-26
"451",2018-03-27
"452",2018-03-28
"453",2018-03-29
"454",2018-03-30
"455",2018-03-31
"456",2018-04-01
"457",2018-04-02
"458",2018-04-03
"459",2018-04-04
"460",2018-04-05
"461",2018-04-06
"462",2018-04-07
"463",2018-04-08
"464",2018-04-09
"465",2018-04-10
"466",2018-04-11
"467",2018-04-12
"468",2018-04-13
"469",2018-04-14
"470",2018-04-15
"471",2018-04-16
"472",2018-04-17
"473",2018-04-18
"474",2018-04-19
"475",2018-04-20
"476",2018-04-21
"477",2018-04-22
"478",2018-04-23
"479",2018-04-24
"480",2018-04-25
"481",2018-04-26
"482",2018-04-27
"483",2018-04-28
"484",2018-04-29
"485",2018-04-30
"486",2018-05-01
"487",2018-05-02
"488",2018-05-03
"489",2018-05-04
"490",2018-05-05
"491",2018-05-06
"492",2018-05-07
"493",2018-05-08
"494",2018-05-09
"495",2018-05-10
"496",2018-05-11
"497",2018-05-12
"498",2018-05-13
"499",2018-05-14
"500",2018-05-15
"501",2018-05-16
"502",2018-05-17
"503",2018-05-18
"504",2018-05-19
"505",2018-05-20
"506",2018-05-21
"507",2018-05-22
"508",2018-05-23
"509",2018-05-24
"510",2018-05-25
"511",2018-05-26
"512",2018-05-27
"513",2018-05-28
"514",2018-05-29
"515",2018-05-30
"516",2018-05-31
"517",2018-06-01
"518",2018-06-02
"519",2018-06-03
"520",2018-06-04
"521",2018-06-05
"522",2018-06-06
"523",2018-06-07
"524",2018-06-08
"525",2018-06-09
"526",2018-06-10
"527",2018-06-11
"528",2018-06-12
"529",2018-06-13
"530",2018-06-14
"531",2018-06-15
"532",2018-06-16
"533",2018-06-17
"534",2018-06-18
"535",2018-06-19
"536",2018-06-20
"537",2018-06-21
"538",2018-06-22
"539",2018-06-23
"540",2018-06-24
"541",2018-06-25
"542",2018-06-26
"543",2018-06-27
"544",2018-06-28
"545",2018-06-29
"546",2018-06-30
"547",2018-07-01
"548",2018-07-02
"549",2018-07-03
"550",2018-07-04
"551",2018-07-05
"552",2018-07-06
"553",2018-07-07
"554",2018-07-08
"555",2018-07-09
"556",2018-07-10
"557",2018-07-11
"558",2018-07-12
"559",2018-07-13
"560",2018-07-14
"561",2018-07-15
"562",2018-07-16
"563",2018-07-17
"564",2018-07-18
"565",2018-07-19
"566",2018-07-20
"567",2018-07-21
"568",2018-07-22
"569",2018-07-23
"570",2018-07-24
"571",2018-07-25
"572",2018-07-26
"573",2018-07-27
"574",2018-07-28
"575",2018-07-29
"576",2018-07-30
"577",2018-07-31
"578",2018-08-01
"579",2018-08-02
"580",2018-08-03
"581",2018-08-04
"582",2018-08-05
"583",2018-08-06
"584",2018-08-07
"585",2018-08-08
"586",2018-08-09
"587",2018-08-10
"588",2018-08-11
"589",2018-08-12
"590",2018-08-13
"591",2018-08-14
"592",2018-08-15
"593",2018-08-16
"594",2018-08-17
"595",2018-08-18
"596",2018-08-19
"597",2018-08-20
"598",2018-08-21
"599",2018-08-22
"600",2018-08-23
"601",2018-08-24
"602",2018-08-25
"603",2018-08-26
"604",2018-08-27
